focus	care_trait	care_sub_capability	question	respondent_role
F - Functional Governance	C — Consistent	Strategic	Is there a formally approved Enterprise AI Strategy that defines the "Right to Win" and "Right to Play" for AI initiatives?	Head of AI
F - Functional Governance	C — Consistent	Strategic	To what extent are AI governance objectives directly linked to organizational KPIs and executive performance reviews?	Head of AI
F - Functional Governance	C — Consistent	Viable	Is there a sustainable funding model for AI governance activities (e.g., impact assessments, auditing, training) that scales with adoption?	Risk Lead
F - Functional Governance	C — Consistent	Viable	How frequently is the ROI of the AI Governance framework reviewed to ensure it is enabling rather than hindering business velocity?	Head of AI
F - Functional Governance	C — Consistent	Resilient	Does the governance framework include a specific process for monitoring and adapting to changes in local (ANZ) and international AI regulations?	Legal Counsel
F - Functional Governance	C — Consistent	Resilient	How effectively does the organization manage "Exit Strategies" or decommissioning plans for AI systems that no longer meet ethical or performance standards?	Risk Lead
F - Functional Governance	A — Accurate	Valid	Is there a standardized "Risk Tiering" methodology applied to all AI use cases to determine the depth of governance required?	Risk Lead
F - Functional Governance	A — Accurate	Valid	How well are the internal AI policies aligned to recognized standards like NIST AI RMF or ISO/IEC 42001?	Risk Lead
F - Functional Governance	A — Accurate	Unbiased	Has the organization defined quantitative "Fairness Thresholds" that must be met before a high-risk AI system is approved for production?	Risk Lead
F - Functional Governance	A — Accurate	Unbiased	Is there a mandatory requirement for an Ethical Impact Assessment (EIA) for any AI system that interacts with protected demographic data?	Legal Counsel
F - Functional Governance	A — Accurate	Explainable	Is there a centralized "AI System Registry" that captures the rationale, data sources, and approval history for every deployed model?	Head of AI
F - Functional Governance	A — Accurate	Explainable	How easily can the organization provide an audit trail of "Who approved what and why" for a specific AI system's deployment?	Risk Lead
F - Functional Governance	A — Accurate	Integrated	Is AI governance integrated directly into the Software Development Life Cycle (SDLC) as an automated gate rather than a manual checklist?	Head of AI
F - Functional Governance	A — Accurate	Integrated	How well do the Legal, Risk, and Engineering teams communicate regarding the technical trade-offs of compliance decisions?	Risk Lead
F - Functional Governance	R — Reliable	Observable	To what degree does the organization have a real-time view of all "Shadow AI" or unsanctioned AI tool usage across the enterprise?	Risk Lead
F - Functional Governance	R — Reliable	Observable	Are governance metrics (e.g., % of systems with completed risk assessments) regularly reported to the Board or Executive Committee?	Head of AI
F - Functional Governance	R — Reliable	Transparent	Is there a clear internal policy for disclosing the use of AI to employees, and is this disclosure consistently applied?	Legal Counsel
F - Functional Governance	R — Reliable	Transparent	Does the organization provide clear, plain-language explanations to end-users (clients) when AI is used to make or influence decisions?	Legal Counsel
F - Functional Governance	R — Reliable	Accountable	Is there a clearly defined RACI matrix that identifies the single point of accountability for AI safety and ethical outcomes?	Head of AI
F - Functional Governance	R — Reliable	Accountable	Does the Practice Director or CISO have the formal "Veto Power" to stop an AI project on ethical or risk grounds?	Head of AI
F - Functional Governance	R — Reliable	Accountable	How are "Third-Party AI Vendors" held accountable for the safety and transparency of the models they provide?	Legal Counsel
F - Functional Governance	R — Reliable	Interoperable	How well do your internal governance policies translate across different business units or international subsidiaries?	Risk Lead
F - Functional Governance	R — Reliable	Interoperable	Is the governance documentation (e.g., risk assessments) stored in a machine-readable format that can be ingested by other compliance tools?	Risk Lead
F - Functional Governance	E — Effective	Desirable	Do developers view the AI governance process as a helpful guide that reduces their personal and professional liability?	Head of AI
F - Functional Governance	E — Effective	Desirable	Has the organization created "Fast-Path" governance tracks for low-risk use cases (e.g., internal productivity tools)?	Risk Lead
